Title,PositiveReview,NegativeReview,Score,GuestName,GuestCountry,RoomType,NumberOfNights,VisitDate,GroupType,PropertyResponse
Good,"-Location is good and rooms are very well maintained. Convenient by taxi to city Center,airport and beach.
-Peaceful and good for couples and backpackers. -The sandwiches and hummus by the chef were delicious. 🙂
- Mrs Tony does a fabulous job keeping the place spotless and making the guests comfortable. The helps are amazing too.
Thanks to all at the hotel who work hard to keep it in good condition.","-No free breakfast option. 
-However when I booked this property in advance it was a higher price but booking.com reduced the price before my travel date and the hotel refused to accept the lower price which I felt was unfair for me as they charged twice for cancellation and rebooking. Maybe this was a booking.com issue or the hotel but I was quite unhappy about this since it was not justified by the owner. I spoke to Ali from booking.com and he said there was no cancellation charge but they charged me☹️
-They need to put a lock to the bathroom and a shower glass door inside or else it gets messy.
-wifi is not good",7.0,Amritha,United Arab Emirates,Standard Triple Room,2 nights,July 2021,Group,"thank you for your comments. 
Regarding the price , you booked a room with extra bed  for 3 persons, we upgraded you reservation to a suite (2 connected rooms),   at free of charge. The rate you paid was for a room, but you got instead a suite at the same rate.
As for the shower, we have different types of showers.  the bathroom in your suite is for accessible, therefore it is without glass. 
Regarding the cancelation fees, we assure you that we did not charge any fees, even we did no;t have access to your credit card in the reservation as your reservation is paid online, it means booking . Com collect from you and we collect from booking. Com virtual card.
kindly check again, maybe there is a misunderstanding. 
As for the wifi, there was a problem in the wifi in your floor, but we managed to solve it definitively.
We are sorry for any inconvenience"
It’s good for day or two,I like the quietness and it’s close to airport,The way room are furnished is not comfortable,7.0,Wael,Qatar,Double Room,1 night,August 2021,Solo traveler,"thank you for your review. we are sorry if you didn't like the way how the room is furnished, actually we booked for you a nicer room but you arrived early in the morning and you asked to check-in upon your arrival; so in order to fulfill your request, we provided you  another room which was  available  at that time."
Fair,Basic night stay but facilities are limited.,"Noisy
Limited food options
Probably renovation work was in progress so, some items were not ready. Example, there is no rod for hangers in the wardrobe, the safe wasn’t fixed.",5.0,Essam,United Arab Emirates,Double Room with Balcony,2 nights,July 2021,Solo traveler,
Good enough for 1 night,"Very comfortable bed, room very new and comfortable.","TV did not work, garbage truck passes at 3 a.m with an incredible noise.",7.0,Maria,France,Double Room with Balcony,1 night,July 2021,Couple,"Thank you for your comments. We wished you told us about the TV during your stay in order to fix it. As for the garbage, they come from time at night, basically we don’t hear them if the balcony door is well closed. We are sorry for any inconvenience"
Good,Location was excellent and staff was very polite. Room was very clean upon arrival,"Rate was very expensive for what it offered. No cleaning service the 4 days I stayed, no emptying garbage can and also had to ask for fresh towels. There were not even hangers for clothes in the closet",7.0,Angeliki,Greece,Double Room with Balcony,3 nights,July 2021,Solo traveler,"Thank you very much for your comments.  Normally we do cleaning service on a daily basis for all staying guests unless the don’t disturb sign is On. I reviewed your case with the staff, the don’t disturb light was always On.  we believe there were a misunderstanding ; kindly accept our sincere apologies."
Disappointing,The people working there were kind and responsive.,"Our plumbing had complications twice.  Moreover, the cleaning crew cleaned out our rooms and threw out a box of cookies next to our bags that was meant to be a gift.  These cookies are only made in Thessaloniki and cost us 25 euros.  When we asked if they had seem them, the owners brought them out of the trash room and offered to spray them as if that would be acceptable for an edible gift during COVID pandemic cautions.  It was nice that they tried, but they should be refunding us for the cookies we lost.  I feel bad writing a negative review because they were kind; however, only things near the garbage should be thrown out.  Not stuff next to guests' belongings.  I was extremely disappointed in how they dealt with the situation, and that they thought it was acceptable to take an edible gift out of a trash room and continue as if nothing happened.",4.0,Maria,United States of America,Standard Triple Room,3 nights,July 2021,Family,"We are sorry for your disappointment, however your reservation was a double room with an extra bed for 3 persons, we upgraded your reservation to a suite (2 connected rooms) at free of charge, to make your stay more comfortable, as you were 3 adults.
As for the plumbing problem, we were so fast in repairing it and cleaning the toilet.
We are sorry for the cookies, actually they were in a box along with an empty bottle of water in a bag on the floor, the maid thought they are trash, and throw them. 
We have done our best to make your stay comfortable by upgrading the room and delivering fast services but again we are sorry for any inconvenience."
friendly staff and lovely stay.,"excellent location, clean and modern.",,10.0,Anonymous,United Kingdom,,3 nights,July 2022,Family,
as booked last minute due to flight cancellation - couldn’t have asked for more,cleanliness,,9.0,Anonymous,United Kingdom,,1 night,June 2022,Family,
"Very nice, friendly staff who helped with parking and allowed an early check-out (for an early flight)","The room was nice and clean, the two beds were set up as we requested",There wasn’t a fan in the bathroom so opening the window was required,8.0,Anonymous,United Kingdom,,1 night,June 2022,Group,
unbeatable value for money,"Room fresh, clean and modern. Same as shown in photos.
Calm area, close to the beach, many restaurants and coffee shops there. 
Bus station very close.
Breakfast above expectations.",nothing,10.0,Anonymous,United States of America,,1 night,November 2021,Solo traveler,
Very Good,"Hotel is very close to the airport, nice place to stay if you arrive late at night.",,8.0,Anonymous,Russia,,1 night,October 2021,Family,
Exceptional,"Liked the happy and smiling welcome that greets you once you arrive at the property. Unfortunately, I didn't have time to try their breakfasts as I had an early flight but they looked amazing. I will definitely return and I can thoroughly recommend this property. Thank you very much!",Not applicable,10.0,Anonymous,Hungary,,1 night,September 2021,Solo traveler,
Wonderful,"Nice staff, room very nice and clean.",Swimming pool could be cleaner.,9.0,Anonymous,Czech Republic,,1 night,September 2021,Solo traveler,
Overnight stay close to airport,Very helpful and knowledgeable staff. Rooms are updated and clean.,,10.0,Anonymous,Australia,,1 night,September 2021,Group,
Cheap and cheerful.,Nice and clean. Perfect for an overnight stay. Owners very nice and friendly.,,8.0,Anonymous,United Kingdom,,1 night,August 2021,Family,
One night,"Very clean, modern rooms, comfortable bed and good shower. Very helpful staff. Exceptional value for money and very close to beach.",Maybe a little way from main town,10.0,Anonymous,United Kingdom,,1 night,August 2021,Solo traveler,
Exceptional,Very friendly atmosphere. A family business where you feel like at home. Huge and delicious breakfast. The hotel is very comfortable. We definitely will come again.,,10.0,Anonymous,Germany,,1 night,July 2021,Family,"thank you so much for your nice comments and for the score; however we didn't know who wrote this review but we are happy that your stay was comfortable and you liked the breakfast, hope to have the chance to have you as our guest another time."
Wonderful credit,Friendly staff and service.  Very nice rooms. Clean.,,10.0,Anonymous,Cyprus,,1 night,June 2021,Solo traveler,Thank you very much for your nice comments; we are happy you had a comfortable stay!
Bad,"Clean, smart devices.","Overpriced for its facilities, if you're lucky you may have the only one parking in the side.
Very poor lunch (breakfast).",1.0,Anonymous,Cyprus,,1 night,September 2021,Couple,"We are sorry for you to have a bad experience at the hotel; 
There is a big parking space near the hotel at free of charge.
As for the breakfast or lunch however our chef is an international chef with a wide experience , again we are sorry your stay was not at your expectations."
"Nice, with a little effort it would have been possible to give more


Nice, with a little effort it would have been possible to give more",Nice,"The floor is not cleaned enough, full of dust, water does not drain and floods the room",8.0,Akiva,Israel,Double Room with Balcony,4 nights,December 2022,Solo traveler,
"Location, cleanliness, comfort, accommodation


Location, cleanliness, comfort, accommodation",The hotel is located close to the airport (there is a bus with good frequency from the street next to the airport) and close to the city center. The hotel is located in a dead-end and quiet street - we had plenty of parking. The rooms were very clean. The staff at the hotel (Tony) was nice and gave a pleasant feeling - immediately after the booking we received a WhatsApp from him to confirm the time of arrival and to inform that they were waiting for us.,,10.0,Moshe,Israel,Double Room with Balcony,1 night,December 2022,Group,
"Exceptional


Exceptional","The kindness of the staff, the size of the room, location.",,10.0,Liron,Israel,Double Room,1 night,December 2022,Family,
"Exactly what we were looking for


Exactly what we were looking for","The kindness of the staff, the location, the cleanliness of the room.",,10.0,Liron,Israel,Double Room,1 night,December 2022,Family,
"Clean, functional hotel 3km from the airport and walking distance to the beach


Clean, functional hotel 3km from the airport and walking distance to the beach","Friendly, clean hotel, functionally furnished. Balcony with courtyard or street view. Good breakfast directly in the hotel, to be paid separately (various options up to 10 EUR). Very friendly host. Proximity to the airport (3km) and the beach including numerous restaurants (500m).",,10.0,Thomas,Switzerland,Double Room with Balcony,1 night,November 2022,Solo traveler,
"Wonderful


Wonderful",French speaking and competent staff.,Nothing,9.0,Mariane,France,Double Room,1 night,November 2022,Couple,
"If I return to Larnaca, for sure Alon will be there again (;


If I return to Larnaca, for sure Alon will be there again (;","The cleanest place I stayed in Cyprus!
The staff is kind and welcoming.","The Waze is to blame for what I didn't like.
She was less helpful in guiding me than the locals, who explained to me in a second 🙏😊",10.0,Orly,Israel,Double Room,1 night,November 2022,Solo traveler,
"the accommodation was reasonable for the price, suitable for sleeping after arrival, the evening walk to Salt Lake was also great, but definitely


the accommodation was reasonable for the price, suitable for sleeping after arrival, the evening walk to Salt Lake was also great, but definitely","pleasant accommodation, helpful reception, cleanliness",the rooms were not soundproofed enough,8.0,Vladimira,Slovakia,Standard Triple Room,1 night,November 2022,Family,
"Two day stay


Two day stay","The staff are extremely friendly and always happy to help when needed. They were always ready to answer any of our questions. In a very good location, close to the airport, especially if you have an early or late flight, and also close to the beach.","The main reason for not giving the highest rating is the noise. From the neighboring hotels/houses, they showered at any time of the day and made unpleasant noise. There were problems with the sealing and closing of the window.",9.0,Jana,Bulgaria,Two-Bedroom Suite,2 nights,September 2022,Group,
"Very Good


Very Good","Nice room, very clean.
Convenient because close to the airport.
Very kind and helpful staff.
We had dinner in the evening, it was very good.","Just a bit far from town
Room a bit small",8.0,Lioval,France,Double Room,1 night,November 2022,Family,
"Exceptional


Exceptional","Very kind staff. Delicious food, impeccable cleanliness.
Thank you!",,10.0,Simandan,Romania,Double Room,1 night,November 2022,Family,
"Wonderful


Wonderful","The room was very clean and very spacious.
The mattresses and pillows were excellent.",The only thing that was slightly flawed was the water in the shower in the evening which was lukewarm,9.0,Israel,Israel,Double Room with Balcony,1 night,November 2022,Family,
"Super


Super",Pleasant staff,,10.0,Abd,France,Double Room with Balcony,1 night,November 2022,Family,
"I will continue emohfeke


I will continue emohfeke",Everything was great!,,10.0,Anja,Austria,Budget Twin Room,3 nights,October 2022,Group,
"good address


good address","nice and comfortable small room. Early November: good availability of free parking spaces at the bottom of the hotel. The beach is 10 minutes walk, the airport 10 minutes by bus. Friendly staff and very good advice",,9.0,Alessio,France,Double Room,1 night,November 2022,Solo traveler,
"Excellent for early starts! Very available staff


Excellent for early starts! Very available staff",Proximity to the airport and excellent cuisine,Nothing,10.0,Roland,Belgium,Family Suite with Balcony,1 night,November 2022,Family,
"Nice little hotel


Nice little hotel","Practical rooms, balconies in each room. good location for the airport. Listening staff.",The noise. The rooms are poorly soundproofed. We hear the neighbors moving.,8.0,Audrey,France,Two-Bedroom Suite,1 night,October 2022,Family,
"Good hotel for a short night departing / arriving from the airport ... But no more


Good hotel for a short night departing / arriving from the airport ... But no more","Hotel near the airport, ideal for a late arrival or a very early departure","bed duvet much too thick, we suffocate underneath! Very hard bed
Noisy, due to the heavy use of tiling and the steady stream of travelers arriving/departing for the airport throughout the night.
Do not use this hotel other than for a stopover night near the airport",8.0,Nicolas,France,Standard Triple Room,2 nights,November 2022,Family,
"Exceptional


Exceptional",wonderful hotel and staff! all as in the photo!,,10.0,Екатерина,Russia,Double Room,2 nights,October 2022,Solo traveler,
"Wonderful


Wonderful","Very good accommodation in a perfect location, 7 minutes from the airport!",,9.0,Evangelos,Greece,Double Room,1 night,October 2022,Couple,
"Nice place!


Nice place!","Great location. 10 minutes by bus from and to the airport. 10 minutes walk to the beach and cafes by the beach. It takes 40 minutes to walk along the promenade to the city, but it's nice. The hotel is good, the staff is friendly.",,10.0,Chik,Israel,Family Suite with Balcony,2 nights,September 2022,Family,
"Great hotel close to the airport


Great hotel close to the airport","Great location close to the airport, friendly service and delicious breakfasts.",,9.0,Mateusz,Poland,Suite with Balcony,1 night,October 2022,Family,
"Nice and clean room, very friendly staff


Nice and clean room, very friendly staff","we only stayed at the LaVeranda Hotel for one night as the end of our Cyprus trip to be as close to the airport as possible for the last night! It was perfect for that. The room was very nicely furnished and, above all, super clean. The bus connection to the city center was just around the corner and we were able to get back to the hotel later in the evening without any problems using public transport. The location was also perfect for the trip to the airport the next morning (7:00 am). Mackenzie Beach is super close and so are lots of cool bars and restaurants.",,9.0,Melanie,Austria,Standard Triple Room,1 night,October 2022,Couple,
"Very practical, excellent welcome, and equally excellent quality of accommodation


Very practical, excellent welcome, and equally excellent quality of accommodation","Great welcome, very pleasant contact, very helpful","Access to the airport is close but not so easy with the bus, when you do not know",9.0,Franck,France,Double Room with Balcony,1 night,October 2022,Family,
"Exceptional


Exceptional",everything is very good,,10.0,Oleh,Ukraine,Double Room,1 night,October 2022,Couple,
"correct accommodation in Corfu


correct accommodation in Corfu",The accommodation itself is very good. It is very central. The problem is finding it. It is located in an alley and google maps went crazy. Now I understand why they sent me a photo of how to locate the street.,"Surely it's not a problem with the accommodation, but the guests in the upper apartment didn't stop making noise at 3am and on the other hand, if you go by car, even though there is an open-air car park very close, it's a real odyssey to be able to park. We had to leave the car far away.",8.0,Belen,Spain,Two-Bedroom Suite,3 nights,September 2022,Family,
,,,10.0,Amir,Israel,Standard Triple Room,1 night,October 2022,Family,
"excellent


excellent","The hotel is very clean and close to the airport. Simple and comfortable rooms, you can see that there is care in the place.","The restaurant in the hotel lobby is good, although it took a relatively long time for our food to be ready.",9.0,אוהד,Israel,Two-Bedroom Suite,1 night,October 2022,Family,
"Exceptional


Exceptional","nice, clean and neat. super sweet hosts",,10.0,Heidi,Denmark,Double Room,2 nights,October 2022,Family,
"We stopped for the night on a connecting flight. I was looking for a hotel close to the airport, an excellent choice. I highly recommend it


We stopped for the night on a connecting flight. I was looking for a hotel close to the airport, an excellent choice. I highly recommend it","Close to the field, the staff is nice, the room is restful and pleasant, clean and renovated
The bed is comfortable and so is the shower","The environment is a bit unfriendly for walking, there is a lot of construction and the roads are bumpy",10.0,Yulia,Israel,Double Room,1 night,October 2022,Family,
"A perfect boutique hotel
A perfect boutique hotel",Everything is a perfect boutique hotel,,10.0,Mira,Israel,Double Room with Balcony,3 nights,October 2022,Group,
"Very Good


Very Good",Breakfast was good,,8.0,Winfried,Germany,Budget Twin Room,1 night,September 2022,Couple,
"Optimal


Optimal","cleanliness, location, simple and modern furnishings but new like the whole structure",Nothing,9.0,Danilo,Italy,Double Room with Balcony,1 night,September 2022,Solo traveler,
"A modern hotel near the airport at a great price.


A modern hotel near the airport at a great price.","The hotel is very modernly furnished, the room is spacious enough with an above-standard large bathroom. We did not use the breakfast because of the early departure. The staff at the reception willingly arranged a ride to the airport for us.",We spent little time at the hotel to assess what could be improved. But we have a positive experience and will use it again next time.,9.0,Martin,Czech Republic,Double Room,1 night,October 2022,Couple,
"Delightful!!


Delightful!!",Everything nice,,9.0,Andrea,Italy,Double Room with Balcony,2 nights,October 2022,Couple,
"Great stay, highly recommended hotel


Great stay, highly recommended hotel","Excellent welcome, clean, quiet.
Hotel very well located for the airport.",,10.0,Zaruhi,France,Double Room,1 night,September 2022,Solo traveler,
"One night near the airport on the way


One night near the airport on the way","Proximity to the airport, clean and cheap","Cramped, the third bed for a child is more suitable for a baby, minimalist room accessories",8.0,Alon,Israel,Double Room,1 night,October 2022,Family,
"comfortably close to the sea and the center on foot, both reachable


comfortably close to the sea and the center on foot, both reachable",new clean reception,Nothing,10.0,Rossatti,Italy,Double Room,1 night,October 2022,Family,
"Wonderful


Wonderful","Excellent location on the way to/from Larnaca airport.
Warm and cordial hospitality",,9.0,Hagit,Israel,Double Room with Balcony,1 night,October 2022,Family,
"Excellent as a place to stay close to the airport


Excellent as a place to stay close to the airport","The place is close to the airport and easy to get to.
We arrived late and the directions were clear and easy.
The place is clean and everything was exactly as expected
A short distance from the promenade where you can find nice restaurants on the beach",The room for 5 was very tight. Suitable for one night no more,8.0,Ramy_weidenfeld,Israel,Two-Bedroom Suite,1 night,October 2022,Family,
"Exceptional


Exceptional","Very clean hotel
Very kind staff
Very close to the airport",,10.0,Shirley,Israel,Standard Triple Room,1 night,October 2022,Family,
"Wonderful


Wonderful","Very well-kept small hotel, with extraordinarily courteous hosts!
We'd love to come back!!",,9.0,Aurel,Austria,Budget Twin Room,5 nights,September 2022,Couple,
"A suprise


A suprise",friendliness of staff,,10.0,Maria,France,Double Room,1 night,October 2022,Solo traveler,
"Wonderful


Wonderful","The manager very friendly, the hotel of very good quality",-,9.0,Hugues,France,Double Room,1 night,October 2022,Couple,
"Exceptional


Exceptional",clean close to the beach close to the field Intimate and quiet,,10.0,Eliahu,Israel,Standard Triple Room,3 nights,October 2022,Family,
"Hotel with unbeatable value for money and with a very pleasant welcome


Hotel with unbeatable value for money and with a very pleasant welcome",Excellent welcome by the owner who speaks fluent French. Quiet hotel and extremely well located for the airport and Larnaca salt lake. Unbeatable value for money I think. Perfect and good dinner and lovely waiter. For a night of transit before our return to France it was perfect. Didn't have breakfast as we were leaving at 4am,,10.0,Brigitte,France,Budget Twin Room,1 night,October 2022,Family,
"Very nice hotel with good value for money


Very nice hotel with good value for money","- Cleanliness
- Welcome
- Possibility of having breakfast on site, having a drink or a snack",- Nothing,10.0,Sindy,France,Double Room with Balcony,1 night,October 2022,Family,
"Wonderful


Wonderful","Very clean, well organized, nothing missing, pleasant balcony, nice hosts, comfortable mattress.",The air conditioner does not cool enough,9.0,Batya,Israel,Double Room with Balcony,1 night,October 2022,Couple,
"Exceptional


Exceptional","Perfect hotel.welcoming and helpful staff.the room was spacious.and clean.the restaurant is very varied.as well as the location close to the airport and the beach as well as many restaurants and snacks.I will resell with pleasure.I recommend the hotel 100%. and I thank Tony for his welcome and his smile, it's so rare.",,10.0,Esma,France,Double Room with Balcony,2 nights,October 2022,Family,
"Nice small and clean hotel.


Nice small and clean hotel.","Small beautiful clean room. They accommodated us with an earlier check-in and earlier check-out. There is no problem with a later check-in either. We had a small lunch here and it was delicious. Staff very nice. A short distance from the beach, we also found starfish. The hotel arranged a transfer to the airport for us.",,10.0,Michaela,Czech Republic,Double Room,1 night,September 2022,Couple,
"Exceptional


Exceptional","The hotel is located close to Larnaca airport.
Very helpful staff, the room had everything you need, and also the bathroom.
Clean and cozy.",,10.0,Efrat,Israel,Double Room,1 night,September 2022,Couple,
"Very Good


Very Good","Very friendly staff, good walking distance to Mackenzie Beach. We can highly recommend the breakfast offered.
Free parking in front of the hotel along the street.",,8.0,Andreas,Germany,Double Room with Balcony,3 nights,August 2022,Group,
"Exceptional


Exceptional",It's a clean and good hotel and the service is also great,,10.0,Moh,Belgium,Suite with Balcony,1 night,August 2022,Family,
"Exceptional


Exceptional",It is a great accommodation with excellent value for money. In addition to being very well located near Larnaca airport and mckenzie beach. I fully recommend it. The staff extremely friendly.,Anything.,10.0,Bryan,Honduras,Double Room with Balcony,1 night,September 2022,Solo traveler,
"Super


Super","Friendly staff, cleanliness, nice rooms",,10.0,Tünde,Hungary,Two-Bedroom Suite,1 night,September 2022,Solo traveler,
"Value for money, with a perspective of improvement for the good of the company!!!


Value for money, with a perspective of improvement for the good of the company!!!","Cleanliness/Towels: 10/10
Design/Furniture: 10/10
Staff: 10/10","Soundproofing: 07/10 (separated rooms with plasterboards)
Balcony furniture set: 08/10 (could refurbish these too)
Set of shampoo etc. for the bathroom: 08/10 (Could offer 1 to 1 for the pampering)",9.0,Stefanos,Cyprus,Double Room with Balcony,2 nights,September 2022,Couple,
"Exceptional


Exceptional","Modern furnished and very clean room, friendly staff. Nice restaurant in the house, great coffee!
Close to the city center, the airport and the sea. Price/performance is totally right.",,10.0,Barbara,Switzerland,Double Room,1 night,September 2022,Family,
"Recommendation for a hotel close to the airport


Recommendation for a hotel close to the airport","Location close to the airport and the promenade by the sea. Clean, tidy, comfortable and beautiful room. Courteous and welcoming service. We will return to him again.. Highly recommend.",We liked the rule,10.0,אורית,Israel,Double Room with Balcony,1 night,September 2022,Couple,
"Lovely staff and the hotel looks very cozy and clean


Lovely staff and the hotel looks very cozy and clean","We stayed literally for a few hours, the welcome was pleasant and they helped us order a taxi to the airport!",,8.0,אנטופיצקי,Israel,Double Room,1 night,September 2022,Solo traveler,
"A real Lebanese tabbouleh all hearty I recommend the restaurant as much as the hotel


A real Lebanese tabbouleh all hearty I recommend the restaurant as much as the hotel","We did not have breakfast because we were leaving very early, however the restaurant in the evening was perfect. The cook particularly affable fast and delicious irreproachable service. A real Lebanese tabbouleh all hearty I recommend the restaurant as much as the hotel",,10.0,Meunier,France,Double Room,1 night,September 2022,Group,
"Exceptional


Exceptional","Nice facility, very nice and helpful staff.",,10.0,Ewa,Poland,Budget Twin Room,1 night,September 2022,Solo traveler,
"Exceptional


Exceptional","great stay. very clean. the staff is available and always helps
THANKS!",,10.0,Vincent,France,Double Room,1 night,September 2022,Solo traveler,
"Very Good


Very Good",Very competent staff,,8.0,Heinz,Switzerland,Two-Bedroom Suite,1 night,September 2022,Family,
"Great stopover at the airport


Great stopover at the airport",Terrace was very cozy,It was very hot but that was the weather,8.0,Hans,Netherlands,Budget Twin Room,1 night,September 2022,Couple,
"All in all, a very inexpensive place to stay with very nice and courteous staff.


All in all, a very inexpensive place to stay with very nice and courteous staff.","We arrived in the middle of the night and were able to get into the room via self-check-in without any problems.
Good location close to the airport - easily accessible by taxi, there is also a bus route nearby.","Rooms may be a bit small for a longer stay, but since we only stayed one night it wasn't a problem.",9.0,Simon,Austria,Double Room,1 night,August 2022,Couple,
"Exceptional


Exceptional",The cleaning,,10.0,Ramona,Italy,Double Room with Balcony,1 night,September 2022,Family,
"Exceptional


Exceptional","Location is very close to the beach, very kind staff on the last day kept our suitcases in custody for the whole day. Very close to the airport, like 8 minutes by car. Really soft bed and pillows",Room a little smaller than average but large bathroom and shower.,10.0,Francesco,Italy,Double Room with Balcony,1 night,August 2022,Couple,
"A pleasant discovery


A pleasant discovery","Strategic location: the property is close to both the airport and Mackenzie Beach. In fifteen minutes of walking along the sea you can also reach Finikoudes. Courteous and helpful staff, maximum cleanliness, excellent upholstery and modern furnishings.",,10.0,Lmannini,Italy,Double Room,6 nights,August 2022,Solo traveler,
"Wonderful


Wonderful","We had an early departing flight so there was no breakfast, but we had dinner in the restaurant and it was very good.",,9.0,Paul,Sweden,Double Room with Balcony,1 night,August 2022,Couple,
"Very Good


Very Good",recently refurbished rooms.,Little parking nearby arriving in the evening,8.0,Silvia,Italy,Budget Twin Room,1 night,August 2022,Group,
"Exceptional


Exceptional",All. The sense of hospitality of the owner.,Nothing .,10.0,Marie-pierre,France,Standard Triple Room,3 nights,August 2022,Couple,
"Very friendly staff, perfect clean room, very good value for money


Very friendly staff, perfect clean room, very good value for money",We had dinner and it was perfect,Nothing to complain about,10.0,Christian,Germany,Double Room with Balcony,1 night,August 2022,Couple,
"Exceptional


Exceptional",I really liked the location. Close to the lake and the beach. Very nice staff. Thank you very much for being able to move in earlier. Very clean new hotel,,10.0,Yannushka,Ukraine,Standard Triple Room,3 nights,August 2022,Family,
"Exceptional


Exceptional",quiet place,,10.0,Ekaterina,Cyprus,Double Room with Balcony,1 night,August 2022,Solo traveler,
"Had a swimming pool


Had a swimming pool",Arabic food,Have to pay for breakfast,10.0,Mhd,Germany,Standard Triple Room,2 nights,August 2022,Family,
"Highly recommended


Highly recommended","Amazing team, thinks of all the details and happy to help. Our flight was delayed and they took care of us both for late check-in and for an electrical adapter",,10.0,Ezra,Israel,Two-Bedroom Suite,1 night,August 2022,Family,
"An excellent place for those looking for a good and pleasant place to rest their head before traveling to another city in Cyprus. We received full value for the price. Highly recommend!!


An excellent place for those looking for a good and pleasant place to rest their head before traveling to another city in Cyprus. We received full value for the price. Highly recommend!!",The rooms are big and very clean! There is also a balcony. Tony the hotel owner is a great man! Helped us with everything we needed,everything will be alright,10.0,Naama,Israel,Two-Bedroom Suite,1 night,August 2022,Family,
"Our stay was flawless. We will come back again on a future occasion.


Our stay was flawless. We will come back again on a future occasion.","A very welcoming staff, smiling and always available to satisfy you. At the reception as in the restaurant there is always someone to take care of you in one of the four languages ​​(Greek, English, French or Arabic). The proximity to the famous Mackenzie Beach is an asset for this charming hotel. The beach is around 5 minutes walk...",The hotel seems to have been freshened up recently. So everything seemed flawless to us.,10.0,André,Cyprus,Double Room with Balcony,3 nights,August 2022,Couple,
"A most charming hotel!!!


A most charming hotel!!!","We arrived at the hotel for one night in order to be close to Larnaca airport for an early morning flight. The rooms are pleasant, clean, the beds are comfortable, everything is new and clean!! We had a really nice time at this hotel",There is nothing we didn't like,10.0,שמרית,Israel,Two-Bedroom Suite,1 night,August 2022,Family,
"Wonderful


Wonderful",Comfortable room,,9.0,Antria,Cyprus,Double Room with Balcony,1 night,August 2022,Family,
"Very Good


Very Good",very kind and welcoming structure ok for the sea,,8.0,Simone,Italy,Two-Bedroom Suite,2 nights,August 2022,Group,
"A pleasant and recommended hotel near Larnaca airport


A pleasant and recommended hotel near Larnaca airport","We were received with a beautiful and kind hospitality by the hotel staff. Clean room, pleasant and comfortable bedding. There is a kettle and a fridge in the room. Close to Larnaca airport. Less than 10 minutes",Bed 5 could be opened and was less comfortable. Toilet and shower are together and less convenient.,9.0,Keren,Israel,Two-Bedroom Suite,1 night,August 2022,Family,
"A restful place for those who have to fly early in the morning.


A restful place for those who have to fly early in the morning.","Lovely and clean room, enough for a family with 3 children. Two rooms. The children's third bed was a bit problematic and not very stable. The location near the airport is convenient for those who need to fly early in the morning. There is also a shuttle to the field. There is a lovely promenade on the sea (McKenzie Beach) with worthwhile restaurants - very worth going in the evening. The staff is charming and kind, answers with a smile and agrees to every request. The restaurant in the hotel is also great.",There was a lack of a pool especially when from the window you can see the pool of the nearby hotel... but overall a good value for the price we paid.,9.0,טלי,Israel,Two-Bedroom Suite,1 night,July 2022,Family,
"Very Good


Very Good","Cleanliness first, but also the kindness of the staff.","The breakfast offered by an independent service does not correspond quantitatively and qualitatively to the known levels of Cypriot hospitality and gastronomy,
and the price of €12 for breakfast is much more expensive than the reasonable value (in terms of quality and quantity) of the offered product!",8.0,Marios,Cyprus,Budget Twin Room,1 night,August 2022,Family,
"Alright


Alright","explanation for arrival, cleanliness",Nothing,8.0,Moalla,France,Standard Triple Room,1 night,August 2022,Family,
"Everything perfect


Everything perfect",everything,I liked everything,10.0,Csengele-monika,Germany,Double Room,1 night,August 2022,Couple,
"Very Good


Very Good",Excellent location near the airport. Good for an overnight stay after a late or early morning flight.,"There was no hot water the two nights we slept there. And even when we complained, they said they took care of it and it wasn't taken care of.",8.0,Roni,Israel,Standard Triple Room,1 night,August 2022,Family,Thank you for your comments; actually there were a technical problem with the hot water in some rooms but we succeeded to fix it. we are sorry it happened in your room.
"Very Good


Very Good","cleanliness, kindness of the staff",Nothing,8.0,Erica,Italy,Double Room,1 night,August 2022,Couple,
"Very Good


Very Good","The room is really clean, close to Larnaca airport and it was really convenient to stop there because our flight landed in the middle of the night",The water in the bath is cold!!!!!! And that we were staying in the middle of August.. even David Shemesh was supposed to arrange boiling soup here,8.0,Yafit,Israel,Double Room,1 night,August 2022,Couple,
"Very Good


Very Good","+ good location,
+ Hotel rooms are in good condition,
+ Hotel is not that big","- Room a bit small, no seating",8.0,Rudolf,Cyprus,Budget Twin Room,9 nights,August 2022,Solo traveler,
"Very Good


Very Good","We were just passing through before taking the plane but the hotel is located 500 meters from the beach and an area with restaurants, bars... the town center is a little further 30' on foot. 5' from the airport. Very nice hosts, very clean establishment.",,8.0,Raphael,France,Double Room,1 night,August 2022,Couple,
"Exceptional


Exceptional","Very good breakfast, great location near MacKenzie beach. Staff very polite and helpful almost family atmosphere.",,10.0,Natalia,Iceland,Standard Triple Room,1 night,August 2022,Family,
"Ideal in case of late arrival at the airport before leaving for a seaside resort


Ideal in case of late arrival at the airport before leaving for a seaside resort","Location close to the airport
Kindness of staff
Staff speaks French",,8.0,Giuseppe,Switzerland,Double Room,1 night,August 2022,Couple,
"It was great close to the beach and the parties at night


It was great close to the beach and the parties at night","We liked everything, excellent service, they helped us with everything we needed.",,10.0,Nicol,Israel,Suite with Balcony,1 night,August 2022,Group,
